full_name,team_logo_espn,first_td_times,first_td_rush,first_td_pass,teamTDperc,season,offense
Jordan Howard,https://a.espncdn.com/i/teamlogos/nfl/500/phi.png,1,1,0,0.16666666666666666,2019,PHI
Jordan Mason,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png,1,1,0,0.09090909090909091,2023,SF
Josh Allen,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png,1,1,0,0.1,2022,BUF
Josh Allen,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png,1,1,0,0.14285714285714285,2023,BUF
Josh Gordon,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png,1,0,1,0.09090909090909091,2019,NE
Josh Hill,https://a.espncdn.com/i/teamlogos/nfl/500/no.png,1,0,1,0.09090909090909091,2019,NO
Josh Jacobs,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png,1,1,0,0.16666666666666666,2021,LV
Josh Jacobs,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png,1,1,0,0.14285714285714285,2022,LV
Josh Jacobs,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png,1,1,0,0.1111111111111111,2023,LV
Josh Oliver,https://a.espncdn.com/i/teamlogos/nfl/500/min.png,1,0,1,0.1111111111111111,2023,MIN
Josh Palmer,https://a.espncdn.com/i/teamlogos/nfl/500/lac.png,1,0,1,0.08333333333333333,2022,LAC
Josh Perkins,https://a.espncdn.com/i/teamlogos/nfl/500/phi.png,1,0,1,0.16666666666666666,2019,PHI
Josh Reynolds,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,1,0,1,0.2,2021,DET
Josh Reynolds,https://a.espncdn.com/i/teamlogos/nfl/500/lar.png,1,0,1,0.09090909090909091,2019,LA
Josh Reynolds,https://a.espncdn.com/i/teamlogos/nfl/500/lar.png,1,0,1,0.1111111111111111,2020,LA
Josh Sweat,https://a.espncdn.com/i/teamlogos/nfl/500/phi.png,1,0,0,0.07142857142857142,2022,PHI
Joshua Dobbs,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png,1,1,0,0.2,2023,ARI
Joshua Kelley,https://a.espncdn.com/i/teamlogos/nfl/500/lac.png,1,1,0,0.08333333333333333,2022,LAC
JuJu Smith-Schuster,https://a.espncdn.com/i/teamlogos/nfl/500/kc.png,1,0,1,0.08333333333333333,2022,KC
JuJu Smith-Schuster,https://a.espncdn.com/i/teamlogos/nfl/500/pit.png,1,1,0,0.125,2021,PIT
Julian Edelman,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png,1,0,1,0.09090909090909091,2019,NE
Julio Jones,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png,1,0,1,0.125,2020,ATL
Julio Jones,https://a.espncdn.com/i/teamlogos/nfl/500/tb.png,1,0,1,0.14285714285714285,2022,TB
Justice Hill,https://a.espncdn.com/i/teamlogos/nfl/500/bal.png,1,1,0,0.08333333333333333,2023,BAL
Justin Coleman,https://a.espncdn.com/i/teamlogos/nfl/500/mia.png,1,0,0,0.09090909090909091,2021,MIA
Justin Fields,https://a.espncdn.com/i/teamlogos/nfl/500/chi.png,1,1,0,0.16666666666666666,2023,CHI
Justin Herbert,https://a.espncdn.com/i/teamlogos/nfl/500/lac.png,1,1,0,0.125,2020,LAC
